,Id,Team Name,Conference,Games,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Pct,Pen,Goals Allowed,Saves,Clear Pct,Year
0,875,army west point,Patriot,13,117,72,189,476,271,12,376,165,112,50.0,30,109,105,0.843,2018
1,885,bellarmine,SoCon,13,102,60,162,423,232,14,288,193,96,49.0,39,122,151,0.791,2018
2,94,binghamton,America East,15,120,53,173,490,282,9,337,189,101,42.0,50,193,173,0.838,2018
3,169,boston u,Patriot,17,171,116,287,553,322,25,500,232,110,48.0,48,193,208,0.839,2018
4,756,brown,Ivy League,15,176,102,278,599,340,22,453,224,92,54.0,46,184,207,0.873,2018
5,639,bryant,NEC,15,170,76,246,575,338,15,482,206,90,68.0,35,146,131,0.888,2018
6,37,bucknell,Patriot,15,175,96,271,534,309,14,391,160,111,46.0,45,135,134,0.874,2018
7,675,canisius,MAAC,17,195,124,319,541,352,20,442,218,108,40.0,45,217,170,0.894,2018
8,115,cleveland st,Independent,14,121,62,183,487,275,12,374,213,98,49.0,35,159,148,0.869,2018
9,620,colgate,Patriot,15,178,98,276,565,327,18,436,185,85,60.0,55,157,136,0.866,2018
10,443,cornell,Ivy League,18,244,172,416,628,401,18,519,205,128,45.0,63,166,208,0.86,2018
11,114,dartmouth,Ivy League,13,110,57,167,404,247,14,375,195,87,40.0,51,183,141,0.802,2018
12,825,delaware,CAA,14,148,66,214,509,283,13,368,152,90,46.0,40,147,165,0.876,2018
13,578,denver,Big East,17,193,114,307,589,351,22,454,202,83,74.0,42,134,121,0.882,2018
14,137,detroit mercy,MAAC,16,165,96,261,565,346,15,470,230,137,48.0,62,150,178,0.889,2018
15,561,drexel,CAA,13,135,71,206,420,244,17,310,180,68,48.0,53,162,137,0.888,2018
16,850,duke,ACC,20,272,150,422,732,477,20,624,222,153,51.0,75,173,190,0.895,2018
17,88,fairfield,CAA,15,132,89,221,509,302,20,399,187,87,49.0,44,159,136,0.863,2018
18,884,furman,SoCon,14,124,68,192,406,251,11,307,192,89,32.0,53,170,167,0.873,2018
19,224,georgetown,Big East,17,188,116,304,565,349,16,443,198,122,49.0,45,138,166,0.911,2018
20,462,hampton,Independent,12,108,49,157,446,251,14,415,222,139,42.0,50,153,138,0.823,2018
21,355,hartford,America East,13,128,77,205,414,253,20,355,195,58,60.0,57,160,140,0.859,2018
22,531,harvard,Ivy League,13,141,92,233,499,305,16,329,175,69,47.0,36,153,168,0.892,2018
23,190,high point,SoCon,14,159,79,238,501,324,14,435,209,101,51.0,60,169,182,0.891,2018
24,571,hobart,NEC,14,141,77,218,566,316,10,398,185,95,62.0,35,150,123,0.908,2018
25,678,hofstra,CAA,14,120,70,190,457,261,15,322,149,65,55.0,63,110,143,0.901,2018
26,14,holy cross,Patriot,13,87,44,131,472,225,10,346,217,102,57.0,51,143,108,0.856,2018
27,849,jacksonville,SoCon,15,173,97,270,538,348,14,498,235,106,71.0,55,156,129,0.875,2018
28,785,johns hopkins,Big Ten,17,199,124,323,677,372,22,459,185,95,53.0,53,165,168,0.897,2018
29,649,lafayette,Patriot,15,117,63,180,498,267,8,418,258,97,48.0,49,201,154,0.78,2018
30,943,lehigh,Patriot,17,180,113,293,561,337,26,524,230,131,60.0,57,161,148,0.875,2018
31,527,loyola maryland,Patriot,17,223,126,349,635,405,12,525,208,164,43.0,51,148,170,0.868,2018
32,551,manhattan,MAAC,14,122,74,196,470,281,15,396,193,67,46.0,42,161,170,0.866,2018
33,720,marist,MAAC,15,121,65,186,445,262,13,292,175,65,45.0,62,174,171,0.849,2018
34,686,marquette,Big East,14,110,56,166,472,235,13,352,182,73,57.0,35,138,123,0.87,2018
35,98,maryland,Big Ten,18,210,119,329,595,395,26,471,177,88,53.0,53,170,187,0.891,2018
36,782,massachusetts,CAA,17,197,130,327,638,404,22,491,231,135,57.0,68,170,201,0.887,2018
37,71,mercer,SoCon,14,113,60,173,469,259,12,336,197,108,44.0,52,146,143,0.819,2018
38,77,michigan,Big Ten,14,142,74,216,485,253,8,341,185,88,50.0,48,136,159,0.858,2018
39,53,monmouth,MAAC,15,153,83,236,534,307,17,402,163,108,38.0,46,135,179,0.936,2018
40,291,mount st marys,NEC,14,157,95,252,552,324,11,452,234,116,54.0,53,175,142,0.847,2018
41,257,navy,Patriot,14,126,76,202,460,246,7,404,209,84,56.0,25,125,124,0.853,2018
42,55,njit,Independent,16,105,63,168,432,255,17,403,251,105,37.0,47,198,185,0.794,2018
43,591,north carolina,ACC,14,153,83,236,497,296,21,368,149,77,45.0,45,153,137,0.874,2018
44,555,notre dame,ACC,15,151,71,222,492,294,17,409,205,86,53.0,42,129,112,0.919,2018
45,889,ohio st,Big Ten,15,134,69,203,499,301,12,429,182,86,58.0,49,129,130,0.934,2018
46,176,penn,Ivy League,15,141,77,218,511,272,12,319,170,68,46.0,68,158,146,0.89,2018
47,285,penn st,Big Ten,14,176,96,272,517,343,9,435,178,84,66.0,36,134,157,0.888,2018
48,502,princeton,Ivy League,13,177,120,297,495,313,24,405,163,91,48.0,49,158,171,0.819,2018
49,358,providence,Big East,15,139,75,214,520,296,17,314,165,64,48.0,54,147,165,0.914,2018
50,477,quinnipiac,MAAC,15,176,89,265,614,347,16,485,199,114,56.0,76,153,152,0.846,2018
51,583,richmond,SoCon,17,181,114,295,596,373,22,458,217,120,42.0,41,178,166,0.92,2018
52,45,robert morris,NEC,18,208,124,332,613,398,21,506,242,169,42.0,50,144,198,0.91,2018
53,439,rutgers,Big Ten,15,168,101,269,510,326,11,417,171,97,47.0,55,143,143,0.881,2018
54,605,sacred heart,NEC,15,165,88,253,574,357,20,463,196,137,47.0,50,176,165,0.889,2018
55,982,saint josephs,NEC,15,150,93,243,460,296,13,365,170,91,44.0,53,120,180,0.901,2018
56,107,siena,MAAC,12,124,59,183,485,270,12,357,162,75,49.0,61,160,158,0.875,2018
57,637,st johns ,Big East,14,137,87,224,454,275,18,355,153,84,43.0,47,140,155,0.871,2018
58,85,stony brook,America East,15,134,83,217,474,296,16,331,172,85,34.0,46,166,144,0.886,2018
59,30,syracuse,ACC,15,169,97,266,515,322,16,457,186,119,49.0,59,160,141,0.857,2018
60,142,towson,CAA,15,134,67,201,524,274,11,397,212,79,61.0,56,144,150,0.855,2018
61,253,ualbany,America East,19,274,182,456,841,517,30,632,236,108,77.0,50,164,199,0.918,2018
62,912,umass lowell,America East,16,160,108,268,555,354,16,519,234,136,39.0,64,170,221,0.862,2018
63,399,umbc,America East,13,89,41,130,410,215,7,252,169,89,36.0,16,101,106,0.878,2018
64,313,vermont,America East,16,165,93,258,510,325,17,435,243,125,47.0,68,129,193,0.852,2018
65,432,villanova,Big East,16,172,92,264,639,363,25,402,165,92,43.0,58,182,153,0.9,2018
66,978,virginia,ACC,18,227,139,366,708,420,21,684,267,149,58.0,79,206,191,0.849,2018
67,197,vmi,SoCon,13,112,48,160,454,233,7,392,219,121,53.0,44,161,155,0.837,2018
68,875,army west point,Patriot,18,200,125,325,721,416,10,552,276,155,33.0,64,155,211,0.852,2019
69,885,bellarmine,SoCon,13,135,82,217,480,269,10,342,232,90,42.0,42,172,179,0.835,2019
70,94,binghamton,America East,13,106,65,171,446,268,8,334,242,120,43.0,52,169,176,0.798,2019
71,169,boston u,Patriot,17,214,145,359,765,422,23,647,324,199,56.0,69,171,209,0.805,2019
72,756,brown,Ivy League,16,193,115,308,677,402,23,547,299,115,52.0,62,185,185,0.818,2019
73,639,bryant,NEC,14,127,66,193,490,276,11,433,246,98,54.0,37,151,178,0.786,2019
74,37,bucknell,Patriot,15,150,88,238,580,335,18,503,262,150,47.0,49,162,190,0.824,2019
75,675,canisius,MAAC,16,169,83,252,544,310,24,444,298,114,49.0,38,163,185,0.801,2019
76,115,cleveland st,DI Independent,15,172,113,285,603,349,20,489,297,134,64.0,61,154,146,0.853,2019
77,620,colgate,Patriot,13,118,70,188,473,286,16,359,214,90,48.0,47,145,133,0.796,2019
78,443,cornell,Ivy League,15,214,134,348,582,378,18,487,238,148,39.0,72,181,198,0.853,2019
79,114,dartmouth,Ivy League,13,101,55,156,425,239,10,378,249,128,31.0,64,165,186,0.768,2019
80,825,delaware,CAA,15,175,95,270,614,361,17,433,229,130,39.0,54,149,205,0.885,2019
81,578,denver,Big East,15,181,103,284,640,369,10,497,220,147,59.0,43,140,126,0.825,2019
82,137,detroit mercy,MAAC,15,157,92,249,555,330,22,482,318,120,59.0,71,179,191,0.806,2019
83,561,drexel,CAA,15,199,104,303,631,389,39,518,268,111,57.0,64,187,144,0.865,2019
84,850,duke,ACC,18,220,122,342,711,457,20,591,272,134,51.0,61,173,179,0.833,2019
85,88,fairfield,CAA,14,141,101,242,551,333,10,417,222,103,47.0,45,189,160,0.771,2019
86,884,furman,SoCon,14,163,92,255,512,331,13,435,238,140,38.0,54,178,190,0.799,2019
87,224,georgetown,Big East,18,254,155,409,750,465,18,598,246,155,47.0,53,200,224,0.869,2019
88,462,hampton,DI Independent,11,134,84,218,489,300,9,456,265,123,69.0,59,152,125,0.753,2019
89,355,hartford,America East,15,169,100,269,550,346,26,446,220,95,48.0,67,208,171,0.848,2019
90,531,harvard,Ivy League,13,156,94,250,534,323,21,460,246,114,43.0,54,190,196,0.797,2019
91,190,high point,SoCon,16,232,122,354,683,403,16,603,338,162,58.0,67,177,209,0.879,2019
92,571,hobart,NEC,16,223,148,371,817,467,25,567,247,100,62.0,57,179,181,0.85,2019
93,678,hofstra,CAA,14,126,56,182,527,307,16,417,223,85,56.0,77,144,155,0.881,2019
94,14,holy cross,Patriot,14,141,82,223,604,321,14,494,266,155,64.0,48,138,131,0.798,2019
95,849,jacksonville,SoCon,15,172,93,265,552,333,21,433,257,169,42.0,65,194,141,0.843,2019
96,785,johns hopkins,Big Ten,16,194,116,310,670,391,26,460,223,101,54.0,63,208,170,0.851,2019
97,649,lafayette,Patriot,15,125,63,188,483,273,12,400,234,108,30.0,45,200,162,0.802,2019
98,943,lehigh,Patriot,17,181,112,293,679,409,18,687,303,156,69.0,66,161,192,0.845,2019
99,527,loyola maryland,Patriot,17,239,146,385,713,442,24,580,255,125,53.0,58,181,257,0.833,2019
100,551,manhattan,MAAC,14,116,81,197,492,271,12,386,231,82,44.0,32,142,186,0.888,2019
101,720,marist,MAAC,17,159,87,246,590,348,16,506,298,113,63.0,55,183,196,0.792,2019
102,686,marquette,Big East,14,151,85,236,539,302,14,409,209,112,48.0,49,162,136,0.808,2019
103,98,maryland,Big Ten,17,215,138,353,613,363,13,487,250,69,54.0,41,182,194,0.878,2019
104,782,massachusetts,CAA,15,191,121,312,645,389,28,488,249,144,61.0,66,133,203,0.875,2019
105,71,mercer,SoCon,13,141,68,209,546,305,14,426,253,89,60.0,56,188,169,0.845,2019
106,77,michigan,Big Ten,13,148,86,234,460,268,16,363,205,123,33.0,48,175,156,0.825,2019
107,53,monmouth,MAAC,12,83,43,126,424,232,7,337,215,122,50.0,44,109,131,0.805,2019
108,291,mount st marys,NEC,16,166,80,246,638,369,17,498,268,137,53.0,67,166,196,0.815,2019
109,257,navy,Patriot,13,138,92,230,518,286,9,415,231,82,51.0,39,157,173,0.77,2019
110,55,njit,DI Independent,15,153,81,234,563,333,20,440,277,107,41.0,37,225,220,0.818,2019
111,591,north carolina,ACC,15,186,93,279,609,378,22,477,220,118,49.0,82,157,159,0.839,2019
112,555,notre dame,ACC,16,184,86,270,607,347,27,478,273,111,58.0,48,162,160,0.871,2019
113,889,ohio st,Big Ten,12,141,71,212,462,278,10,384,182,59,62.0,52,129,129,0.892,2019
114,176,penn,Ivy League,16,239,134,373,742,433,23,508,259,92,62.0,47,187,208,0.858,2019
115,285,penn st,Big Ten,18,323,195,518,745,513,38,651,278,127,59.0,60,199,209,0.852,2019
116,502,princeton,Ivy League,14,195,119,314,637,403,13,461,202,142,46.0,49,161,171,0.86,2019
117,358,providence,Big East,16,173,96,269,653,382,14,444,257,106,49.0,49,160,202,0.837,2019
118,477,quinnipiac,MAAC,16,185,106,291,645,357,13,446,270,98,51.0,69,203,223,0.811,2019
119,583,richmond,SoCon,17,202,125,327,627,391,14,465,269,154,37.0,59,172,218,0.866,2019
120,45,robert morris,NEC,17,229,150,379,744,459,22,554,248,149,46.0,50,232,219,0.836,2019
121,439,rutgers,Big Ten,15,170,106,276,579,340,11,465,218,109,43.0,46,174,214,0.858,2019
122,605,sacred heart,NEC,15,209,103,312,745,433,16,541,245,172,41.0,60,171,176,0.833,2019
123,982,saint josephs,NEC,14,139,85,224,538,330,18,460,275,120,62.0,44,149,168,0.809,2019
124,107,siena,MAAC,13,168,99,267,590,344,15,435,184,109,44.0,45,181,121,0.866,2019
125,335,st bonaventure,MAAC,13,81,41,122,331,190,12,275,258,92,25.0,50,193,211,0.766,2019
126,637,st johns ,Big East,14,154,87,241,554,343,22,419,194,94,46.0,43,179,170,0.857,2019
127,85,stony brook,America East,15,152,89,241,540,327,16,404,228,101,50.0,52,163,166,0.886,2019
128,30,syracuse,ACC,14,180,97,277,613,369,24,514,198,124,57.0,52,142,187,0.853,2019
129,142,towson,CAA,16,203,104,307,680,379,26,548,272,112,69.0,78,173,186,0.82,2019
130,253,ualbany,America East,14,148,92,240,556,317,18,393,208,100,44.0,46,163,172,0.863,2019
131,912,umass lowell,America East,14,138,90,228,530,286,19,432,292,106,59.0,54,165,164,0.799,2019
132,399,umbc,America East,16,189,94,283,611,366,15,421,241,120,40.0,33,199,133,0.857,2019
133,574,utah,DI Independent,15,138,89,227,481,298,19,388,260,103,33.0,45,197,189,0.814,2019
134,313,vermont,America East,15,173,103,276,576,346,13,437,241,97,52.0,74,150,189,0.847,2019
135,432,villanova,Big East,15,170,102,272,613,353,21,436,222,111,50.0,46,176,175,0.87,2019
136,978,virginia,ACC,20,282,172,454,908,514,25,831,312,186,58.0,88,205,230,0.82,2019
137,197,vmi,SoCon,13,128,66,194,556,293,8,420,243,138,38.0,45,188,174,0.862,2019
138,875,army west point,Patriot,11,130,70,200,468,270,11,367,160,96,47.0,37,102,136,0.807,2021
139,885,bellarmine,SoCon,15,118,69,187,470,272,14,327,248,142,30.0,49,164,165,0.84,2021
140,94,binghamton,America East,9,79,42,121,276,186,7,287,183,91,53.0,44,93,123,0.818,2021
141,169,boston u,Patriot,11,130,74,204,460,263,13,337,189,102,42.0,45,110,147,0.88,2021
142,756,brown,Ivy League,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2021
143,639,bryant,NEC,13,177,86,263,614,379,16,466,205,104,59.0,48,145,165,0.884,2021
144,37,bucknell,Patriot,8,83,52,135,339,201,9,268,120,82,43.0,40,106,88,0.834,2021
145,675,canisius,MAAC,10,93,54,147,369,217,16,285,196,75,54.0,35,107,112,0.797,2021
146,115,cleveland st,DI Independent,10,86,52,138,327,185,5,283,209,84,48.0,24,107,115,0.84,2021
147,620,colgate,Patriot,10,107,63,170,364,219,13,324,181,58,52.0,23,131,123,0.747,2021
148,114,dartmouth,Ivy League,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2021
149,825,delaware,CAA,13,174,100,274,559,325,13,446,196,99,50.0,39,131,154,0.892,2021
150,578,denver,Big East,17,241,148,389,808,480,21,559,254,111,65.0,43,170,187,0.873,2021
151,137,detroit mercy,MAAC,7,68,35,103,293,161,9,226,132,65,61.0,27,67,80,0.835,2021
152,561,drexel,CAA,13,177,98,275,591,347,14,430,199,113,49.0,55,138,141,0.872,2021
153,850,duke,ACC,17,242,136,378,712,456,24,542,256,111,59.0,61,174,193,0.849,2021
154,88,fairfield,CAA,11,126,79,205,446,253,17,332,198,82,50.0,47,168,150,0.814,2021
155,224,georgetown,Big East,16,210,153,363,709,413,14,527,251,137,57.0,44,133,185,0.894,2021
156,355,hartford,America East,7,63,29,92,250,150,4,209,114,69,44.0,30,88,82,0.862,2021
157,190,high point,SoCon,14,187,101,288,525,335,21,399,239,99,47.0,40,194,168,0.859,2021
158,571,hobart,NEC,9,110,57,167,440,242,10,301,148,65,65.0,41,99,111,0.847,2021
159,678,hofstra,CAA,14,182,87,269,547,344,21,440,232,90,64.0,62,163,148,0.904,2021
160,14,holy cross,Patriot,6,47,27,74,192,111,5,148,115,50,44.0,9,73,87,0.8,2021
161,849,jacksonville,SoCon,14,153,97,250,507,313,15,411,249,102,56.0,60,157,141,0.86,2021
162,785,johns hopkins,Big Ten,13,145,80,225,460,291,15,385,199,90,53.0,37,158,114,0.856,2021
163,649,lafayette,Patriot,11,98,48,146,363,219,7,324,188,85,41.0,25,160,140,0.814,2021
164,943,lehigh,Patriot,12,169,103,272,539,325,15,503,188,87,75.0,42,122,149,0.825,2021
165,899,liu,NEC,11,155,93,248,424,293,11,342,184,64,47.0,57,145,193,0.871,2021
166,527,loyola maryland,Patriot,16,197,117,314,655,383,19,532,225,136,51.0,54,157,171,0.909,2021
167,551,manhattan,MAAC,10,94,50,144,362,203,9,238,164,82,33.0,43,97,126,0.822,2021
168,720,marist,MAAC,4,56,30,86,194,110,7,113,61,34,41.0,17,41,49,0.811,2021
169,686,marquette,Big East,12,110,61,171,470,252,12,327,180,90,39.0,38,146,163,0.847,2021
170,98,maryland,Big Ten,16,255,156,411,654,416,16,536,205,130,48.0,44,162,177,0.863,2021
171,782,massachusetts,CAA,10,117,73,190,361,228,15,323,182,78,54.0,35,108,125,0.866,2021
172,71,mercer,SoCon,13,140,83,223,493,285,12,400,267,112,59.0,68,163,164,0.878,2021
173,128,merrimack,NEC,10,114,58,172,386,239,17,313,172,91,46.0,39,113,109,0.842,2021
174,77,michigan,Big Ten,12,131,65,196,457,263,16,353,176,68,53.0,30,177,133,0.843,2021
175,53,monmouth,MAAC,11,104,48,152,426,270,14,382,191,90,68.0,41,96,114,0.88,2021
176,291,mount st marys,NEC,13,139,77,216,488,307,10,400,209,118,46.0,58,147,149,0.816,2021
177,257,navy,Patriot,9,97,57,154,319,189,13,312,138,62,45.0,30,90,128,0.885,2021
178,55,njit,America East,11,79,43,122,356,188,9,296,206,73,40.0,41,159,173,0.856,2021
179,591,north carolina,ACC,16,261,138,399,800,491,15,565,200,133,54.0,64,170,189,0.893,2021
180,555,notre dame,ACC,12,169,103,272,568,313,23,427,178,83,63.0,40,107,154,0.862,2021
181,889,ohio st,Big Ten,11,125,62,187,422,250,9,327,169,66,54.0,16,142,104,0.848,2021
182,176,penn,Ivy League,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,2021
183,285,penn st,Big Ten,11,111,62,173,409,238,11,347,196,61,57.0,26,148,124,0.869,2021
184,358,providence,Big East,13,133,69,202,603,328,8,382,203,78,50.0,40,166,169,0.863,2021
185,477,quinnipiac,MAAC,7,64,35,99,291,143,6,218,141,54,73.0,27,70,96,0.867,2021
186,583,richmond,SoCon,13,162,108,270,520,322,26,388,216,138,54.0,33,125,148,0.902,2021
187,45,robert morris,DI Independent,13,176,105,281,543,348,17,437,223,127,41.0,49,186,172,0.88,2021
